,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,X.E. Fernández,21,28.71,0.86,0.43,5.86,123,0.29,6
1,J.M.S. Martínez,21,29.86,0.97,0.38,5.57,117,0.24,5
2,R. deB. Bengoetxea,20,26.8,0.8,0.2,5.35,107,0.1,2
3,A.U. Mallenco,20,29.2,0.9,0.3,4.6,92,0.1,2
4,Mario Melero López,20,27.45,0.79,0.3,4.95,99,0.15,3
5,A.M.M. Lahoz,19,26.58,0.82,0.47,5.58,106,0.26,5
6,E.P. Iglesias,19,29.42,0.9,0.47,4.16,79,0.0,0
7,C.d.C. Grande,19,25.53,0.75,0.26,4.21,80,0.16,3
8,I.I. Villanueva,19,24.79,0.77,0.42,4.42,84,0.53,10
9,Jesús Gil Manzano,19,25.68,0.69,0.37,5.58,106,0.32,6
10,Juan Martínez Munuera,19,28.11,0.87,0.47,4.95,94,0.16,3
11,Santiago Jaime Latre,19,27.05,0.77,0.21,4.68,89,0.21,4
12,J.L.G. González,19,23.79,0.68,0.11,4.11,78,0.26,5
13,J.L.M. Montero,19,26.79,0.81,0.47,5.68,108,0.26,5
14,Pablo González Fuertes,19,26.79,0.85,0.21,4.53,86,0.26,5
15,G.C. Fernández,19,28.95,0.85,0.37,3.79,72,0.21,4
16,Javier Alberola Rojas,18,25.67,0.72,0.33,4.17,75,0.11,2
17,Adrián Cordero Vega,18,26.78,0.79,0.44,4.89,88,0.17,3
18,David Medié Jiménez,17,25.76,0.8,0.35,4.53,77,0.18,3
19,A.J.H. Hernández,16,28.06,0.87,0.25,6.94,111,0.19,3
20,A.M.M. Lahoz,21,27.29,0.84,0.14,5.24,110,0.24,5
21,X.E. Fernández,20,30.3,1.0,0.3,6.6,132,0.5,10
22,Juan Martínez Munuera,20,30.8,0.97,0.4,5.15,103,0.15,3
23,Javier Alberola Rojas,20,25.1,0.81,0.35,3.3,66,0.15,3
24,G.C. Fernández,20,30.25,0.96,0.3,4.95,99,0.2,4
25,Adrián Cordero Vega,20,23.6,0.76,0.7,4.05,81,0.15,3
26,C.d.C. Grande,19,25.0,0.84,0.42,3.74,71,0.11,2
27,Jesús Gil Manzano,19,27.63,0.9,0.63,4.42,84,0.32,6
28,César Soto Grado,19,28.74,0.91,0.53,5.26,100,0.05,1
29,A.J.H. Hernández,19,26.0,0.83,0.47,5.32,101,0.16,3
30,J.M.S. Martínez,19,27.68,0.91,0.16,5.58,106,0.32,6
31,Mario Melero López,19,30.26,1.11,0.47,5.89,112,0.21,4
32,J.L.M. Montero,19,24.42,0.78,0.37,3.84,73,0.37,7
33,David Medié Jiménez,19,27.11,0.92,0.58,6.11,116,0.26,5
34,Pablo González Fuertes,19,32.47,1.23,0.37,5.79,110,0.16,3
35,E.P. Iglesias,18,28.78,1.06,0.39,5.28,95,0.39,7
36,J.L.G. González,18,26.28,0.88,0.33,4.22,76,0.17,3
37,Valentín Pizarro Gómez,18,28.44,1.03,0.39,3.5,63,0.22,4
38,R. deB. Bengoetxea,17,22.18,0.73,0.41,5.41,92,0.18,3
39,Santiago Jaime Latre,17,26.71,1.03,0.12,4.53,77,0.41,7
40,X.E. Fernández,22,26.82,0.95,0.55,3.91,86,0.14,3
41,C.d.C. Grande,21,26.05,0.97,0.52,5.0,105,0.29,6
42,Pablo González Fuertes,21,31.19,1.24,0.14,5.05,106,0.24,5
43,G.C. Fernández,21,25.29,0.96,0.38,3.48,73,0.14,3
44,J.L.M. Montero,20,23.1,0.82,0.1,2.6,52,0.15,3
45,Javier Alberola Rojas,20,24.85,0.78,0.25,3.15,63,0.0,0
46,R. deB. Bengoetxea,19,24.37,0.83,0.21,4.63,88,0.21,4
47,Jesús Gil Manzano,19,26.47,0.97,0.79,4.74,90,0.16,3
48,Santiago Jaime Latre,19,27.21,0.98,0.37,4.37,83,0.21,4
49,César Soto Grado,19,26.21,0.95,0.47,4.53,86,0.05,1
50,I.D. deM. Escuderos,19,24.84,0.91,0.58,4.42,84,0.32,6
51,A.M.M. Lahoz,18,26.06,0.86,0.17,4.61,83,0.17,3
52,J.M.S. Martínez,18,29.78,1.05,0.28,5.72,103,0.17,3
53,Mario Melero López,18,31.83,1.11,0.39,4.06,73,0.06,1
54,David Medié Jiménez,18,26.78,0.89,0.39,4.89,88,0.5,9
55,Adrián Cordero Vega,18,25.0,0.86,0.33,4.17,75,0.39,7
56,Valentín Pizarro Gómez,18,23.83,0.91,0.39,4.06,73,0.33,6
57,Jorge Figueroa Vázquez,18,27.11,0.94,0.33,3.61,65,0.22,4
58,Juan Martínez Munuera,17,26.24,0.91,0.53,4.41,75,0.18,3
59,A.J.H. Hernández,17,27.12,0.9,0.24,5.18,88,0.06,1
60,J.M.S. Martínez,22,27.0,0.87,0.14,5.09,112,0.14,3
61,César Soto Grado,21,27.24,0.93,0.29,5.29,111,0.14,3
62,A.M.M. Lahoz,20,28.55,0.91,0.3,4.85,97,0.15,3
63,Jesús Gil Manzano,20,25.85,0.9,0.5,4.85,97,0.3,6
64,Santiago Jaime Latre,20,27.05,0.86,0.1,4.6,92,0.15,3
65,A.J.H. Hernández,20,26.85,0.81,0.35,6.4,128,0.35,7
66,I.D. deM. Escuderos,20,26.65,0.84,0.4,6.45,129,0.25,5
67,J.L.M. Montero,20,25.45,0.77,0.4,4.1,82,0.2,4
68,Pablo González Fuertes,20,28.6,0.94,0.4,4.45,89,0.5,10
69,R. deB. Bengoetxea,19,25.26,0.77,0.47,4.37,83,0.11,2
70,C.d.C. Grande,19,28.16,0.87,0.42,5.68,108,0.21,4
71,Alejandro Muñiz Ruiz,19,27.42,0.94,0.37,5.53,105,0.26,5
72,Javier Alberola Rojas,19,25.79,0.82,0.42,3.63,69,0.21,4
73,Adrián Cordero Vega,19,27.68,0.97,0.47,5.84,111,0.16,3
74,Jorge Figueroa Vázquez,19,26.63,0.92,0.21,4.26,81,0.26,5
75,Valentín Pizarro Gómez,18,24.0,0.74,0.5,4.72,85,0.28,5
76,M.Á.O. Arias,17,24.18,0.76,0.29,4.41,75,0.47,8
77,Mario Melero López,17,26.65,0.79,0.41,4.29,73,0.06,1
78,Juan Martínez Munuera,16,25.19,0.79,0.31,4.69,75,0.38,6
79,G.C. Fernández,15,23.87,0.85,0.2,6.33,95,0.33,5
80,R. deB. Bengoetxea,24,20.58,0.64,0.21,5.17,124,0.42,10
81,César Soto Grado,22,26.95,0.78,0.36,5.68,125,0.32,7
82,C.d.C. Grande,21,25.33,0.77,0.29,3.81,80,0.48,10
83,Jesús Gil Manzano,21,24.33,0.75,0.24,4.95,104,0.38,8
84,A.M.M. Lahoz,20,25.1,0.79,0.35,3.7,74,0.2,4
85,J.I. Villanueva,20,22.9,0.7,0.35,4.55,91,0.25,5
86,J.L.P. Santana,20,25.35,0.77,0.2,4.65,93,0.3,6
87,J.M.S. Martínez,19,27.58,0.9,0.21,5.42,103,0.26,5
88,Mario Melero López,19,24.95,0.76,0.32,3.63,69,0.21,4
89,Pablo González Fuertes,19,29.26,0.98,0.32,5.63,107,0.16,3
90,Jorge Figueroa Vázquez,19,27.53,0.88,0.32,5.16,98,0.42,8
91,Juan Martínez Munuera,18,27.94,0.91,0.33,5.22,94,0.17,3
92,A.J.H. Hernández,18,26.17,0.77,0.39,6.06,109,0.44,8
93,Alejandro Muñiz Ruiz,18,27.72,0.87,0.22,5.06,91,0.44,8
94,I.D. deM. Escuderos,18,28.06,0.88,0.28,5.06,91,0.5,9
95,J.L.M. Montero,18,27.5,0.87,0.17,5.06,91,0.44,8
96,M.Á.O. Arias,17,24.24,0.74,0.41,4.29,73,0.59,10
97,G.C. Fernández,17,28.94,0.98,0.71,5.65,96,0.71,12
98,Javier Alberola Rojas,16,25.56,0.82,0.19,3.06,49,0.25,4
99,Valentín Pizarro Gómez,16,23.75,0.77,0.25,3.69,59,0.44,7
